method,N,threads,time,max_number
SEQUENTIAL,1000000,1,0.3022008,837799
SEQUENTIAL_CACHED,1000000,1,0.034539200000000006,837799
PARALLEL,1000000,1,0.2971942,837799
PARALLEL_CACHED,1000000,1,0.0371674,837799
PARALLEL,1000000,2,0.168966,837799
PARALLEL_CACHED,1000000,2,0.024291,837799
PARALLEL,1000000,4,0.10038580000000001,837799
PARALLEL_CACHED,1000000,4,0.0189578,837799
PARALLEL,1000000,8,0.06977059999999999,837799
PARALLEL_CACHED,1000000,8,0.014646000000000001,837799
PARALLEL,1000000,16,0.0760748,837799
PARALLEL_CACHED,1000000,16,0.0133156,837799
SEQUENTIAL,2000000,1,0.6171642,1723519
SEQUENTIAL_CACHED,2000000,1,0.068246,1723519
PARALLEL,2000000,1,0.6058285999999999,1723519
PARALLEL_CACHED,2000000,1,0.0760354,1723519
PARALLEL,2000000,2,0.3511556,1723519
PARALLEL_CACHED,2000000,2,0.048461199999999996,1723519
PARALLEL,2000000,4,0.2072444,1723519
PARALLEL_CACHED,2000000,4,0.0378928,1723519
PARALLEL,2000000,8,0.1362522,1723519
PARALLEL_CACHED,2000000,8,0.028555399999999998,1723519
PARALLEL,2000000,16,0.13200220000000001,1723519
PARALLEL_CACHED,2000000,16,0.0305956,1723519
SEQUENTIAL,3000000,1,0.9422246,2298025
SEQUENTIAL_CACHED,3000000,1,0.1068306,2298025
PARALLEL,3000000,1,0.9365872,2298025
PARALLEL_CACHED,3000000,1,0.1217156,2298025
PARALLEL,3000000,2,0.5354224000000001,2298025
PARALLEL_CACHED,3000000,2,0.080292,2298025
PARALLEL,3000000,4,0.32864740000000003,2298025
PARALLEL_CACHED,3000000,4,0.060769399999999994,2298025
PARALLEL,3000000,8,0.2860662,2298025
PARALLEL_CACHED,3000000,8,0.042116799999999996,2298025
PARALLEL,3000000,16,0.2293374,2298025
PARALLEL_CACHED,3000000,16,0.042282,2298025
SEQUENTIAL,4000000,1,1.3028922,3732423
SEQUENTIAL_CACHED,4000000,1,0.1479538,3732423
PARALLEL,4000000,1,1.2578108000000001,3732423
PARALLEL_CACHED,4000000,1,0.1601282,3732423
PARALLEL,4000000,2,0.7139224000000001,3732423
PARALLEL_CACHED,4000000,2,0.1020918,3732423
PARALLEL,4000000,4,0.4373596,3732423
PARALLEL_CACHED,4000000,4,0.07802719999999999,3732423
PARALLEL,4000000,8,0.2991694,3732423
PARALLEL_CACHED,4000000,8,0.057923999999999996,3732423
PARALLEL,4000000,16,0.2783796,3732423
PARALLEL_CACHED,4000000,16,0.06305039999999999,3732423
SEQUENTIAL,5000000,1,1.6167168,3732423
SEQUENTIAL_CACHED,5000000,1,0.19108419999999998,3732423
PARALLEL,5000000,1,1.5924214,3732423
PARALLEL_CACHED,5000000,1,0.2054436,3732423
PARALLEL,5000000,2,0.9014118,3732423
